AAMAS (1),28,2560
AAMAS (2),27,3103
AAMAS (3),15,846
AAMAS (PhD),3,14
TADA/AMEC,7,138
AAMAS Workshops,4,47
AAMAS (Industry Track),10,425
AAMAS (Demos),10,228
COIN,9,215
AMEC/TADA,0,0
AAMAS-TRUST,6,86
ATC,13,749
Modelling and Evaluation of ATM Networks,7,126
Asian Test Symposium,9,496
ATVA,14,823
AUIC,21,1619
Australian Conference on Artificial Intelligence,25,3842
Australian Joint Conference on Artificial Intelligence,22,1834
"Agents and Multi-Agent Systems Formalisms, Methodologies, and Applications",7,113
Australasian Conference on Artificial Intelligence,11,653
AusDM,13,426
Selected Papers from AusDM,6,138
AIDM,3,46
"Australian Computer, Network & Information Forensics Conference",6,101
Combinatorial Optimization,7,3059
Austrographics,1,3
AutoID,18,974
Automatentheorie und Formale Sprachen,6,160
Automata Theory and Formal Languages,6,497
AVBPA,44,9644
AVI,16,1192
Advanced Visual Interfaces,22,2022
CAI,7,207
BELIV,13,650
Automatic Verification Methods for Finite State Systems,20,2811
AVSS,16,1454
AWCC,8,228
AWIC,7,190
Aegean Workshop on Computing,9,301
AWOC,20,1849
AWPN,4,31
B,10,323
DB&IS,2,16
BalticDB&IS,6,125
Baltic Computer Science,9,279
Banff Higher Order Workshop,5,950
Surveys in Combinatorics,7,445
BCEC,8,312
BCS HCI,12,496
BDA,0,0
"Proc. 15èmes Journées Bases de Données Avancées, BDA",5,334
Berkeley Workshop,21,2002
Nonclassical Logics and Information Processing,4,127
Self-star Properties in Complex Information Systems,11,310
Broadband Islands,7,173
BIBE,10,632
GI-BIFOA,1,1
Bildverarbeitung für die Medizin,5,218
BioADIT,14,558
BIOCOMP,11,752
BIOSIG,6,190
Informatik in den Biowissenschaften,2,8
Correct System Design,10,328
Formal Methods in Software and Systems Modeling,6,227
We Will Show Them! (1),9,326
"Processes, Terms and Cycles",9,235
Aspects of Molecular Computing,9,332
Mechanizing Mathematical Reasoning,8,658
25 Years Communicating Sequential Processes,7,361
Informatik zwischen Wissenschaft und Gesellschaft,2,12
Computation Theory and Logic,8,346
Automated Reasoning: Essays in Honor of Woody Bledsoe,9,547
"Words, Semigroups, and Transductions",7,162
New Trends in Formal Languages,9,215
Recent Topics in Mathematical and Computational Linguistics,6,88
"Advances in Algorithms, Languages, and Complexity",9,287
From Integrated Publication and Information Systems to Virtual Information and Knowledge Environments,7,174
Formal and Natural Computing,10,272
Computational Logic: Logic Programming and Beyond,15,855
Informationswirtschaft: Ein Sektor mit Zukunft,2,15
Essays in Memory of Shimon Even,6,178
Verification: Theory and Practice,16,798
New Results and New Trends in Computer Science,6,174
Foundations of Computer Science: Potential - Theory - Cognition,11,460
PCK50,5,71
Theoretical Studies in Computer Science,5,59
Intellectics and Computational Logic,6,185
The Essence of Computation,12,493
Grammars and Automata for String Processing,5,79
Essays in Memory of Ole-Johan Dahl,8,177
Wissen in Aktion,4,42
Computer Science in Perspective,7,190
Essays Dedicated to Joseph A. Goguen,10,242
Structures in Logic and Computer Science,11,370
Results and Trends in Theoretical Computer Science,9,240
Jewels are Forever,12,394
Computational Logic - Essays in Honor of Alan Robinson,15,1644
Menschengerechte Softwaregestaltung,1,2
The School of Niklaus Wirth,4,96
Data Management in a Connected World,5,58
Theory Is Forever,8,176
Logic versus Approximation,5,101
We Will Show Them! (2),7,130
"Logic, Language and Computation",6,138
Formal Methods and Hybrid Real-Time Systems,7,155
Program Analysis and Compilation,7,151
"Reasoning, Action and Interaction in AI Theories and Systems",5,73
"Concurrency, Graphs and Models",11,358
Pillars of Computer Science,11,260
"Proof, Language, and Interaction",15,1257
"Automata, Formal Languages, and Related Topics",3,29
"Rewriting, Computation and Proof",6,64
Algebraic and Proof-theoretic Aspects of Non-classical Logics,4,72
SAW,4,57
BIS,12,619
BIS (Workshops),7,193
Biologically Motivated Computer Vision,21,1493
BMVC,39,8466
BNAIC,18,1040
BNCOD,7,242
BNOD,2,18
BNCOD Posters,1,11
Broadband Networking Technologies,7,156
Business Process Management,36,5412
Business Process Management Workshops,13,562
BPM,23,1940
BPM (Demos),5,126
Broadband Communications,12,889
Integrated Broadband Communications,4,59
BROADNETS,3,35
BSDCon,8,343
BSDIA,6,114
Software Agents and Soft Computing,12,772
BTW,8,250
BTW Studierenden-Programm,1,5
Sprachen für Datenbanken,5,93
BTW Workshops,2,8
BTW Studierendenprogramm,1,4
Büroautomation,2,11
BVAI,10,357
Berliner XML Tage,11,374
C++ Workshop,6,494
C++ Conference,22,1538
C5,5,107
CA,33,3573
CASA,14,576
CAAN,9,328
CAAP,22,1587
CLAAP,3,58
CAD,6,84
Geometrisches Modellieren,2,12
Rechnerunterstütztes Entwerfen und Konstruieren (CAD),3,27
CAD-Fachgespräch,2,28
CAD Advanced Course,2,22
CADE,21,1442
IJCAR Doctoral Programme,4,44
IJCAR,21,1208
VERIFY,7,244
ESARLT,3,54
PAAR/ESHOL,4,42
CADUI,9,255
CAEPIA,7,187
CAIA,16,1176
CAINE,5,169
CAIP,15,1517
CAiSE Workshops (3),8,158
EMOI-INTEROP,8,363
CAiSE,24,2267
CAiSE Workshops,5,104
CAiSE Workshops (2),12,454
